node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
13005,42730063,-73.9117739,40.8220639,-73.9117739,40.8220639,node,0,-1
13006,42730064,-73.9114752,40.8227635,-73.9114752,40.8227635,node,0,-1
13007,42730077,-73.9108174,40.8242039,-73.9108174,40.8242039,node,0,-1
13008,42730079,-73.910572,40.8246425,-73.910572,40.8246425,node,0,-1
13009,42730080,-73.9099066,40.8258542,-73.9099066,40.8258542,node,0,-1
13010,42730082,-73.909556,40.826511,-73.909556,40.826511,node,0,-1
13011,42730085,-73.9092906,40.8270028,-73.9092906,40.8270028,node,0,-1
13012,42730090,-73.908604,40.828225,-73.908604,40.828225,node,0,-1
13013,42730093,-73.908103,40.82914,-73.908103,40.82914,node,0,-1
13014,42730097,-73.907722,40.829823,-73.907722,40.829823,node,0,-1
13015,42730101,-73.906838,40.831385,-73.906838,40.831385,node,0,-1
13016,42730107,-73.905915,40.833055,-73.905915,40.833055,node,0,-1
13017,42730113,-73.904634,40.835336,-73.904634,40.835336,node,0,-1
13018,42730120,-73.904159,40.836181,-73.904159,40.836181,node,0,-1
13019,42730123,-73.903338,40.837642,-73.903338,40.837642,node,0,-1
13020,42730127,-73.902647,40.838874,-73.902647,40.838874,node,0,-1
13021,42730131,-73.901877,40.840246,-73.901877,40.840246,node,0,-1
13022,42730136,-73.901118,40.841599,-73.901118,40.841599,node,0,-1
13023,42730140,-73.900333,40.842989,-73.900333,40.842989,node,0,-1
13024,42730155,-73.8222328,40.8345678,-73.8222328,40.8345678,node,0,-1
13025,42730157,-73.822679,40.835678,-73.822679,40.835678,node,0,-1
13026,42730160,-73.822973,40.837179,-73.822973,40.837179,node,0,-1
13027,42730162,-73.82302,40.83855,-73.82302,40.83855,node,0,-1
13028,42730171,-73.8143623,40.8248442,-73.8143623,40.8248442,node,0,-1
13029,42730173,-73.8158121,40.8265312,-73.8158121,40.8265312,node,0,-1
13030,42730177,-73.8173386,40.8283198,-73.8173386,40.8283198,node,0,-1
13031,42730182,-73.8188951,40.8301744,-73.8188951,40.8301744,node,0,-1
13032,42730198,-73.8661373,40.8733845,-73.8661373,40.8733845,node,0,-1
13033,42730232,-73.8652993,40.8733436,-73.8652993,40.8733436,node,0,-1
13034,42730262,-73.8643106,40.8727827,-73.8643106,40.8727827,node,0,-1
13035,42730285,-73.8638893,40.8722928,-73.8638893,40.8722928,node,0,-1
13036,42730310,-73.835007,40.838107,-73.835007,40.838107,node,0,-1
13037,42730312,-73.833265,40.83893,-73.833265,40.83893,node,0,-1
13038,42730316,-73.831541,40.839747,-73.831541,40.839747,node,0,-1
13039,42730322,-73.830559,40.840203,-73.830559,40.840203,node,0,-1
13040,42730326,-73.829674,40.840609,-73.829674,40.840609,node,0,-1
13041,42730330,-73.828767,40.840965,-73.828767,40.840965,node,0,-1
13042,42730333,-73.8279088,40.8412662,-73.8279088,40.8412662,node,0,-1
13043,42730339,-73.827032,40.841318,-73.827032,40.841318,node,0,-1
13044,42730342,-73.8260667,40.8413777,-73.8260667,40.8413777,node,0,-1
13045,42730353,-73.8016243,40.8090455,-73.8016243,40.8090455,node,0,-1
